state,date,price,rent,interest_rate,cp_index,inflation,total_pops,unemployed_pct
AK,2020-02-01,294116.91010652174,1294.579219,1.58,258.678,0.2740618131495287,544496.0,5.5
AK,2020-03-01,295301.5035652174,1297.0779235,0.65,258.115,-0.21764510317846542,544428.0,5.5
AK,2020-04-01,296207.1934543478,1305.44508425,0.05,256.389,-0.6686941866997254,543728.0,11.7
AK,2020-05-01,296665.0167130435,1307.3895834,0.05,256.394,0.0019501616683959,543720.0,11.8
AK,2020-06-01,296325.2814804348,1313.229571425,0.08,257.797,0.5472046927775365,543696.0,11.2
AK,2020-07-01,295545.98502826085,1315.3346077,0.09,259.101,0.5058243501669724,543759.0,11.1
AK,2020-08-01,295279.0075043478,1321.3790652,0.1,259.918,0.31532105240814623,543968.0,8.6
AK,2020-09-01,296285.6228978261,1327.13069415,0.09,260.28,0.13927469432666317,544112.0,7.9
AK,2020-10-01,298406.81343913043,1336.1350739250001,0.09,260.388,0.04149377593360981,544378.0,7.3
AK,2020-11-01,300593.2036173913,1338.957650925,0.09,260.229,-0.061062721784410634,544585.0,7.1
AK,2020-12-01,302898.21735217393,1340.0725471,0.09,260.474,0.09414784670425114,544686.0,7.1
AK,2021-01-01,305036.45082826086,1336.6500161,0.09,261.582,0.42537834870275404,544783.0,7.0
AK,2021-02-01,306630.84922391304,1332.96174485,0.08,263.014,0.5474382793923205,544649.0,7.0
AK,2021-03-01,306508.05265106383,1333.428166675,0.07,264.877,0.7083273133749568,544781.0,7.0
AK,2021-04-01,307023.71921489364,1340.5453142000001,0.07,267.054,0.8218909154060094,545016.0,7.0
AK,2021-05-01,308075.98978723405,1353.4704645,0.06,269.195,0.8017105154762838,545278.0,6.8
AK,2021-06-01,310131.6977787234,1313.1246446,0.08,271.696,0.929066290235725,545448.0,6.8
AK,2021-07-01,312982.11988723406,1339.8236606,0.1,273.003,0.4810523526293853,545820.0,6.4
AK,2021-08-01,317161.7379361702,1363.379673,0.09,273.567,0.206591136361145,545872.0,6.2
AK,2021-09-01,320768.8082617021,1383.9992612,0.08,274.31,0.2715970859058281,545837.0,5.9
AK,2021-10-01,323786.9803425532,1398.5901808,0.08,276.589,0.8308118552003085,545847.0,5.7
AK,2021-11-01,325541.78738085105,1405.1015338,0.08,277.948,0.4913427504347645,545808.0,5.5
AK,2021-12-01,326954.29486595746,1398.5153746,0.08,278.802,0.3072517161483601,545780.0,5.3
AK,2022-01-01,328899.52391276596,1427.9723495,0.08,281.148,0.8414573783545265,545711.0,5.2
AK,2022-02-01,330241.7749617021,1371.1881493333335,0.08,283.716,0.9133979256476854,545426.0,4.8
